X,Y,Crash_Type,Accident_Datetime,Location,Latitude,Longitude,Posted_Speed,Road_Type,Pedestrian_Age,Pedestrian_Gender,Pedestrian_City_of_Residence,Pedestrian_Zip_Code,Biker_Age,Biker_Gender,Biker_City_of_Residence,Biker_Zip_Code,Pedestrian_Injury_Severity,Pedestrian_to_Hospital,Biker_Injury_Severity,Biker_to_Hospital,ObjectId,Vehicle_Direction_of_Travel
-93.042,44.957,Bike,2020/06/06 23:45:00+00,S WINTHROP ST,44.935,-93.01,30,Municipal State Aid Street,,,,,8,M,ST. PAUL,55106,,,,No,24,Unknown
-93.149,44.956,Pedestrian,2020/06/03 20:34:00+00,-- NOT ON ROADWAY --,44.961,-93.057,,All other roads,7,M,ST PAUL,55106,,,,,Suspected Minor Injury,Yes,,,25,Unknown
-93.109,44.959,Pedestrian,2020/06/01 22:50:00+00,E SUBURBAN AVE,44.95,-93.019,10,Municipal State Aid Street,43,M,SAINT PAUL,551066516,,,,,Suspected Minor Injury,No,,,26,Unknown
-93.085,44.95,Pedestrian,2020/05/31 00:30:00+00,E MINNEHAHA AVE,44.963,-93.036,30,State Trunk Highway,23,M,SAINT PAUL,551064638,,,,,Suspected Minor Injury,Yes,,,27,Unknown
-93.142,44.927,Pedestrian,2020/05/26 18:41:00+00,OLD HUDSON RD,44.951,-93.01,,Municipal State Aid Street,38,F,SAINT PAUL,551195010,,,,,Suspected Minor Injury,No,,,28,Unknown
-93.167,44.951,Pedestrian,2020/05/26 06:31:00+00,N GROTTO ST,44.956,-93.131,30,Local or City Street,40,F,,,,,,,Suspected Minor Injury,Yes,,,29,Unknown
-93.025,44.991,Pedestrian,2020/05/24 06:39:00+00,FERONIA AVE,44.954,-93.18,30,Local or City Street,30,F,EAGAN,551012334,,,,,Suspected Serious Injury,Yes,,,30,Unknown
-93.096,44.955,Bike,2020/05/24 00:31:00+00,N PROSPERITY AVE,44.975,-93.045,30,Local or City Street,,,,,16,M,ST.PAUL,55106,,,,No,31,Unknown
-93.096,44.955,Pedestrian,2020/05/22 22:49:00+00,133,44.953,-93.133,30,All other roads,13,M,SAINT PAUL,55106,,,,,Suspected Serious Injury,No,,,32,Unknown
-93.187,44.951,Pedestrian,2020/05/21 22:15:00+00,W UNIVERSITY AVE,44.956,-93.126,30,County State Aid Highway,32,,,,,,,,Suspected Minor Injury,Yes,,,33,Unknown
-93.005,44.936,Bike,2020/05/20 20:15:00+00,W JEFFERSON AVE,44.931,-93.187,30,Local or City Street,,,,,12,M,ST. PAUL,55116,,,Suspected Minor Injury,No,34,Unknown
-93.106,44.99,Pedestrian,2021/10/02 22:44:00+00,W UNIVERSITY AVE,44.956,-93.116,30,County State Aid Highway,13,F,SAINT PAUL,55106,,,,,Possible Injury,Yes,,,35,Unknown
-93.149,44.955,Bike,2020/05/20 18:58:00+00,W WYOMING ST,44.921,-93.102,30,Local or City Street,,,,,27,M,WEST SAINT PAUL,551182203,,,Possible Injury,Yes,36,Unknown
-93.064,44.957,Pedestrian,2020/05/16 05:00:00+00,N DESOTO ST,44.967,-93.081,30,Local or City Street,27,M,ST PAUL,55116,,,,,,No,,,37,Unknown
-93.094,44.949,Bike,2020/05/16 01:20:00+00,E WHEELOCK PKWY,44.982,-93.055,30,Local or City Street,,,,,26,M,ST. PAUL,55106,,,Suspected Minor Injury,Yes,38,Unknown
-93.157,44.954,Bike,2020/05/08 23:34:00+00,L'ORIENT ST,44.967,-93.091,30,Local or City Street,,,,,17,F,ST PAUL,55101,,,,No,39,Unknown
-93.026,44.966,Bike,2020/05/07 22:12:00+00,N ARCADE ST,44.978,-93.066,,U.S. Trunk Highway,,,,,48,M,ST. PAUL,55106,,,Suspected Minor Injury,No,40,Unknown
-93.107,44.949,Pedestrian,2020/04/28 21:42:00+00,CHARLES AVE,44.962,-93.19,30,Municipal State Aid Street,61,M,MINNEAPOLIS,554111373,,,,,Fatal,No,,,41,Unknown
-93.025,44.987,Pedestrian,2020/04/24 18:00:00+00,W MARYLAND AVE,44.977,-93.119,,County State Aid Highway,26,F,MAPLEWOOD,551094336,,,,,Possible Injury,Yes,,,42,Unknown
-93.074,44.966,Pedestrian,2020/04/23 19:34:00+00,W UNIVERSITY AVE,44.955,-93.127,30,County State Aid Highway,20,F,SAINT PAUL,551175157,,,,,Suspected Serious Injury,Yes,,,43,Unknown
-93.116,44.947,Pedestrian,2020/04/18 03:20:00+00,E IVY AVE,44.981,-93.025,30,Local or City Street,23,F,SAINT PAUL,551062301,,,,,Suspected Minor Injury,Yes,,,44,Unknown
-93.139,44.941,Pedestrian,2020/04/18 03:20:00+00,E IVY AVE,44.981,-93.025,30,Local or City Street,2,M,ST PAUL,55106,,,,,Suspected Minor Injury,Yes,,,45,Unknown
-93.101,44.976,Bike,2020/03/27 21:21:00+00,E LARPENTEUR AVE,44.992,-93.077,5,County State Aid Highway,,,,,58,M,SAINT PAUL,551303318,,,Suspected Minor Injury,Yes,46,Unknown
-93.167,44.927,Pedestrian,2020/03/23 03:13:00+00,N PROSPERITY AVE,44.978,-93.04,30,County State Aid Highway,24,M,ST PAUL,55106,,,,,,No,,,47,Unknown
-93.095,44.949,Bike,2020/03/19 15:40:00+00,W 9TH ST,44.948,-93.102,30,Municipal State Aid Street,,,,,52,F,ST. PAUL,55102,,,,No,48,Unknown
-93.166,44.955,Pedestrian,2020/03/17 20:52:00+00,W 7TH ST,44.904,-93.166,40,State Trunk Highway,28,F,SAINT PAUL,551162961,,,,,Possible Injury,Yes,,,49,Unknown
-93.103,44.943,Pedestrian,2020/03/14 15:10:00+00,W EDMUND AVE,44.958,-93.167,30,Local or City Street,41,M,SAINT PAUL,551082444,,,,,Possible Injury,Yes,,,50,Unknown
-93.127,44.97,Pedestrian,2020/03/12 00:12:00+00,W 7TH ST,44.909,-93.154,40,State Trunk Highway,15,F,ST PAUL,55116,,,,,Suspected Serious Injury,Yes,,,51,Unknown
-93.069,44.966,Pedestrian,2020/03/07 15:30:00+00,W SELBY AVE,44.947,-93.147,30,Municipal State Aid Street,70,M,SAINT PAUL,551032343,,,,,Suspected Minor Injury,Yes,,,52,Unknown
-93.109,44.94,Pedestrian,2020/03/03 03:29:00+00,N PARK ST,44.965,-93.104,20,Local or City Street,32,M,ST PAUL,55117,,,,,Possible Injury,Yes,,,53,Unknown
-93.177,44.904,Pedestrian,2020/02/29 22:37:00+00,N WHITE BEAR AVE,44.963,-93.025,30,Local or City Street,60,M,SAINT PAUL,551064923,,,,,Suspected Serious Injury,Yes,,,54,Unknown
-93.107,44.941,Pedestrian,2020/02/29 04:17:00+00,S SNELLING AVE,44.92,-93.167,30,State Trunk Highway,26,F,SAINT PAUL,551162237,,,,,Suspected Minor Injury,Yes,,,55,Unknown
-93.149,44.963,Pedestrian,2020/02/28 16:51:00+00,N SNELLING AVE,44.953,-93.167,10,State Trunk Highway,48,M,ST.PAUL,55104,,,,,Possible Injury,Yes,,,56,Unknown
-93.147,44.951,Pedestrian,2020/02/27 12:30:00+00,S FAIRVIEW AVE,44.934,-93.177,30,Municipal State Aid Street,23,F,ST PAUL,55105,,,,,Possible Injury,No,,,57,Unknown
-93.126,44.952,Pedestrian,2020/02/27 12:26:00+00,S ROBERT ST,44.936,-93.081,30,State Trunk Highway,7,M,ST PAUL,55107,,,,,Suspected Serious Injury,Yes,,,58,Unknown
-93.147,44.951,Pedestrian,2019/09/21 07:00:00+00,N ARKWRIGHT ST,44.985,-93.084,30,Local or City Street,40,F,SAINT PAUL,551065906,,,,,Possible Injury,No,,,59,Unknown
-93.192,44.942,Bike,2020/02/17 12:24:00+00,959,44.951,-93.183,30,All other roads,,,,,56,M,SAINT PAUL,551161639,,,Suspected Minor Injury,No,60,Unknown
-93.162,44.956,Pedestrian,2020/02/16 06:03:00+00,W 7TH ST,44.901,-93.172,30,State Trunk Highway,41,M,ST. PAUL,55104,,,,,Suspected Minor Injury,Yes,,,61,Unknown
-93.137,44.921,Pedestrian,2020/02/16 06:03:00+00,W 7TH ST,44.901,-93.172,30,State Trunk Highway,36,M,WHITE BEAR LAKE,551103471,,,,,Possible Injury,Yes,,,62,Unknown
-93.128,44.957,Pedestrian,2020/02/15 00:17:00+00,W UNIVERSITY AVE,44.955,-93.148,10,County State Aid Highway,41,F,MINNEAPOLIS,554112041,,,,,,No,,,63,Unknown
-93.023,44.987,Bike,2020/01/29 01:27:00+00,N LEXINGTON AVE,44.953,-93.146,30,County State Aid Highway,,,,,44,M,SAINT PAUL,551161622,,,,No,64,Unknown
-93.167,44.956,Bike,2022/06/09 13:15:00+00,E HYACINTH AVE,44.98,-93.066,25,Local or City Street,,,,,15,M,ST. PAUL,55101,,,Possible Injury,No,65,Unknown
-93.162,44.956,Pedestrian,2020/02/13 00:30:00+00,S SNELLING AVE,44.939,-93.167,30,State Trunk Highway,20,F,ST PAUL,55104,,,,,Suspected Minor Injury,Yes,,,66,Unknown
-93.187,44.951,Pedestrian,2020/02/12 18:15:00+00,W UNIVERSITY AVE,44.955,-93.153,5,County State Aid Highway,39,M,MINNEAPOLIS,554082415,,,,,Possible Injury,Yes,,,67,Unknown
-93.167,44.939,Pedestrian,2020/02/08 19:01:00+00,W MARSHALL AVE,44.948,-93.192,30,County State Aid Highway,39,M,SAINT PAUL,551051714,,,,,,No,,,68,Unknown
-93.144,44.99,Pedestrian,2020/02/08 02:11:00+00,W 7TH ST,44.909,-93.156,40,State Trunk Highway,,,,,,,,,Fatal,Yes,,,69,Unknown
-93.097,44.989,Pedestrian,2020/01/16 12:17:00+00,N WHITE BEAR AVE,44.988,-93.025,30,County State Aid Highway,43,F,SAINT PAUL,551042613,,,,,Suspected Minor Injury,Yes,,,70,Unknown
-93.119,44.977,Pedestrian,2020/02/02 04:55:00+00,E 7TH ST,44.963,-93.064,,State Trunk Highway,52,M,SAINT PAUL,551064210,,,,,,No,,,71,Unknown
-93.135,44.956,Pedestrian,2020/02/02 08:30:00+00,E MINNEHAHA AVE,44.963,-93.025,30,State Trunk Highway,,F,,55106,,,,,Suspected Serious Injury,No,,,72,Unknown
-93.104,44.943,Pedestrian,2020/02/01 23:16:00+00,E PRINCE ST,44.949,-93.084,30,Municipal State Aid Street,42,M,SAINT PAUL,551051489,,,,,Possible Injury,Yes,,,73,Unknown
-93.085,44.941,Bike,2020/01/24 10:51:00+00,N RICE ST,44.956,-93.106,35,County State Aid Highway,,,,,32,M,SAINT PAUL,551095240,,,Suspected Minor Injury,Yes,74,Unknown
-93.066,44.978,Bike,2020/01/23 00:10:00+00,W KELLOGG BLVD,44.944,-93.093,30,Municipal State Aid Street,,,,,61,M,WEST SAINT PAUL,551184402,,,Suspected Minor Injury,Yes,75,Unknown
-93.074,44.97,Pedestrian,2020/01/22 13:00:00+00,W RANDOLPH AVE,44.927,-93.189,30,Municipal State Aid Street,67,F,MINNEAPOLIS,554065125,,,,,Possible Injury,No,,,76,Unknown
-93.187,44.948,Pedestrian,2019/10/28 23:05:00+00,W 7TH ST,44.922,-93.136,,State Trunk Highway,70,M,SAINT PAUL,551163215,,,,,Possible Injury,No,,,77,Unknown
-93.128,44.927,Pedestrian,2020/01/15 15:30:00+00,N ARCADE ST,44.977,-93.066,30,U.S. Trunk Highway,39,F,ST PAUL,55106,,,,,Suspected Minor Injury,Yes,,,78,Unknown
-93.066,44.963,Pedestrian,2020/01/14 04:27:00+00,W SUMMIT AVE,44.941,-93.126,30,Municipal State Aid Street,20,M,ST PAUL,55104,,,,,Suspected Minor Injury,Yes,,,79,Unknown
-93.203,44.96,Pedestrian,2020/01/09 00:45:00+00,N PARK ST,44.979,-93.104,30,Local or City Street,55,M,SAINT PAUL,55117,,,,,Possible Injury,No,,,80,Unknown
-93.099,44.946,Pedestrian,2019/12/30 12:56:00+00,N WHITE BEAR AVE,44.952,-93.025,30,County State Aid Highway,57,F,SAINT PAUL,551163255,,,,,,No,,,81,Unknown
-93.196,44.975,Pedestrian,2019/12/28 23:51:00+00,N ST ALBANS ST,44.949,-93.129,30,Local or City Street,25,M,SAINT PAUL,551062926,,,,,Possible Injury,No,,,82,Unknown
-93.098,44.955,Pedestrian,2019/12/29 07:03:00+00,N FOREST ST,44.957,-93.061,30,Municipal State Aid Street,45,F,SAINT PAUL,551174427,,,,,Possible Injury,Yes,,,83,Unknown
-93.086,44.978,Pedestrian,2019/12/25 15:32:00+00,N WHITE BEAR AVE,44.963,-93.025,30,County State Aid Highway,52,F,ST PAUL,55119,,,,,Possible Injury,No,,,84,Unknown
-93.167,44.956,Pedestrian,2019/12/24 19:35:00+00,E FREMONT AVE,44.958,-93.063,10,Local or City Street,34,F,ST PAUL,55106,,,,,Possible Injury,Yes,,,85,Unknown
-93.111,44.961,Pedestrian,2019/12/24 00:25:00+00,N WHITE BEAR AVE,44.984,-93.025,35,County State Aid Highway,22,M,ST PAUL,55106,,,,,Suspected Minor Injury,Yes,,,86,Unknown
-93.166,44.977,Pedestrian,2019/12/20 00:20:00+00,W 7TH ST,44.91,-93.153,35,State Trunk Highway,43,F,SAINT PAUL,551163204,,,,,Possible Injury,Yes,,,87,Unknown
-93.066,44.97,Pedestrian,2019/12/05 19:02:00+00,W 7TH ST,44.907,-93.16,30,State Trunk Highway,29,M,SAINT PAUL,551175333,,,,,,No,,,88,Unknown
-93.083,44.949,Pedestrian,2019/12/17 23:25:00+00,N HAMPDEN AVE,44.962,-93.193,30,Local or City Street,40,M,MINNEAPOLIS,554071904,,,,,Suspected Minor Injury,No,,,89,Unknown
-93.152,44.956,Pedestrian,2019/12/17 12:15:00+00,WABASHA STREET,,,30,Local or City Street,61,M,BURNSVILLE,553373687,,,,,Suspected Minor Injury,Yes,,,90,Unknown
-93.177,44.904,Pedestrian,2019/12/13 23:03:00+00,N CLARENCE ST,44.978,-93.043,30,Municipal State Aid Street,32,M,SAINT PAUL,551063865,,,,,Suspected Minor Injury,No,,,91,Unknown
-93.191,44.961,Bike,2019/11/25 13:55:00+00,RAYMOND AVE,44.974,-93.195,30,County State Aid Highway,,,,,30,M,ROCHESTER,559017586,,,,No,92,Unknown
-93.085,44.977,Pedestrian,2019/12/11 22:56:00+00,N PASCAL ST,44.95,-93.162,30,Municipal State Aid Street,72,F,SAINT PAUL,551045304,,,,,Suspected Minor Injury,Yes,,,93,Unknown
-93.066,44.978,Pedestrian,2019/12/11 01:02:00+00,E 7TH ST,44.962,-93.066,30,State Trunk Highway,20,M,SAINT PAUL,55106,,,,,Possible Injury,Yes,,,94,Unknown
-93.177,44.904,Pedestrian,2019/12/08 23:15:00+00,N FOREST ST,44.978,-93.061,30,Local or City Street,13,F,ST. PAUL,55106,,,,,Suspected Minor Injury,No,,,95,Unknown
-93.094,44.953,Pedestrian,2019/12/07 22:39:00+00,N WHITE BEAR AVE,44.982,-93.025,30,County State Aid Highway,69,M,SAINT PAUL,551062221,,,,,Possible Injury,No,,,96,Unknown
-93.084,44.953,Pedestrian,2019/12/06 18:15:00+00,W 7TH ST,44.947,-93.1,30,State Trunk Highway,69,M,LITTLE CANADA,55117,,,,,Suspected Minor Injury,Yes,,,97,Unknown
-93.145,44.916,Pedestrian,2019/12/05 23:10:00+00,E LARPENTEUR AVE,44.992,-93.039,30,County State Aid Highway,51,F,SAINT PAUL,55106,,,,,Fatal,No,,,98,Unknown
-93.11,44.989,Pedestrian,2019/12/04 19:57:00+00,E CASE AVE,44.97,-93.074,30,Municipal State Aid Street,33,F,SAINT PAUL,551063711,,,,,Possible Injury,Yes,,,99,Unknown
-93.005,44.936,Pedestrian,2019/12/03 15:30:00+00,N SNELLING AVE,44.956,-93.167,30,State Trunk Highway,62,M,SAINT PAUL,551304039,,,,,Suspected Serious Injury,Yes,,,100,Unknown
-93.005,44.951,Pedestrian,2019/12/03 15:30:00+00,N SNELLING AVE,44.956,-93.167,30,State Trunk Highway,56,M,SAINT PAUL,55104,,,,,Possible Injury,No,,,101,Unknown
-93.189,44.962,Pedestrian,2019/12/02 15:44:00+00,E TEDESCO ST,44.96,-93.078,30,Municipal State Aid Street,72,F,SAINT PAUL,551304556,,,,,Possible Injury,Yes,,,102,Unknown
-93.156,44.956,Pedestrian,2019/11/30 23:31:00+00,N WHITE BEAR AVE,44.957,-93.025,30,County State Aid Highway,19,M,SAINT PAUL,551304213,,,,,,No,,,103,Unknown
-93.095,44.944,Pedestrian,2019/11/30 02:30:00+00,N RICE ST,44.958,-93.106,30,County State Aid Highway,41,M,MINNEAPOLIS,554122023,,,,,Suspected Serious Injury,Yes,,,104,Unknown
-93.084,44.977,Pedestrian,2019/11/25 23:53:00+00,E 6TH ST,44.95,-93.088,30,Municipal State Aid Street,37,F,MINNEAPOLIS,554184107,,,,,Suspected Minor Injury,Yes,,,105,Unknown
-93.16,44.927,Pedestrian,2019/11/23 17:50:00+00,S PRIOR AVE,44.897,-93.182,,Local or City Street,74,M,EDEN PRAIRIE,553474307,,,,,Suspected Minor Injury,Yes,,,106,Unknown
-93.116,44.962,Pedestrian,2019/11/23 01:32:00+00,N HAZELWOOD ST,44.978,-93.035,10,Local or City Street,41,F,SAINT PAUL,551051006,,,,,Suspected Minor Injury,Yes,,,107,Unknown
-93.166,44.964,Pedestrian,2019/11/22 15:22:00+00,E 6TH ST,44.957,-93.073,30,Municipal State Aid Street,75,F,MINNEAPOLIS,55407,,,,,Possible Injury,Yes,,,108,Unknown
-93.167,44.956,Pedestrian,2019/11/22 00:29:00+00,CHARLES AVE,44.957,-93.178,30,Municipal State Aid Street,12,F,ST PAUL,55104,,,,,Possible Injury,No,,,109,Unknown
-93.147,44.977,Pedestrian,2019/11/21 15:34:00+00,,44.956,-93.165,10,All other roads,63,M,MINNEAPOLIS,55406,,,,,Possible Injury,No,,,110,Unknown
-93.126,44.956,Pedestrian,2019/11/21 14:39:00+00,W UNIVERSITY AVE,44.956,-93.106,30,County State Aid Highway,55,F,ROSEVILLE,551133636,,,,,Suspected Minor Injury,Yes,,,111,Unknown
-93.011,44.969,Pedestrian,2019/08/10 18:09:00+00,W KELLOGG BLVD,44.944,-93.103,30,Municipal State Aid Street,53,F,SAINT PAUL,551012253,,,,,Possible Injury,No,,,112,Unknown
-93.011,44.969,Pedestrian,2019/03/17 03:43:00+00,W UNIVERSITY AVE,44.956,-93.109,35,County State Aid Highway,63,M,MAPLEWOOD,551195888,,,,,Suspected Serious Injury,Yes,,,113,Unknown
-93.195,44.974,Pedestrian,2021/10/03 01:30:00+00,N RICE ST,44.956,-93.106,30,County State Aid Highway,55,M,SAINT PAUL,55103,,,,,,No,,,114,Unknown
-93.126,44.977,Bike,2019/08/10 01:15:00+00,W MARSHALL AVE,44.948,-93.198,30,County State Aid Highway,,,,,24,F,MINNEAPOLIS,55407,,,Possible Injury,Yes,115,Unknown
-93.106,44.977,Pedestrian,2022/06/09 01:10:00+00,-- NOT ON ROADWAY --,44.984,-93.066,,All other roads,65,F,SAINT PAUL,551063330,,,,,,No,,,116,Unknown
-93.165,44.904,Pedestrian,2019/03/16 07:35:00+00,E MARYLAND AVE,44.977,-93.082,35,County State Aid Highway,22,F,SAINT PAUL,551062728,,,,,Fatal,Yes,,,117,Unknown
-93.01,44.951,Pedestrian,2021/10/03 00:13:00+00,W GRAND AVE,44.94,-93.136,25,Municipal State Aid Street,51,M,MINNEAPOLIS,55412,,,,,Suspected Serious Injury,Yes,,,118,Unknown
-93.099,44.96,Bike,2019/08/07 12:46:00+00,S LEXINGTON ST,44.94,-93.147,,County State Aid Highway,,,,,27,F,SAINT PAUL,55104,,,Suspected Minor Injury,Yes,119,Unknown
-93.126,44.97,Pedestrian,2022/06/03 18:00:00+00,N RICE ST,44.965,-93.106,10,County State Aid Highway,83,M,MAHTOMEDI,551156833,,,,,Suspected Minor Injury,No,,,120,Unknown
-93.086,44.968,Pedestrian,2019/03/14 18:00:00+00,7TH PLACE,,,30,Local or City Street,54,F,INVER GROVE HTS,55076,,,,,Possible Injury,No,,,121,Unknown
-93.198,44.948,Pedestrian,2021/09/29 00:08:00+00,N ROBERT ST,44.95,-93.093,20,State Trunk Highway,20,F,HOPKINS,553437757,,,,,Possible Injury,Yes,,,122,Unknown
-93.154,44.955,Pedestrian,2019/08/05 17:05:00+00,VANDALIA ST,44.957,-93.192,30,Municipal State Aid Street,27,M,BROOKLYN PARK,554433061,,,,,Suspected Minor Injury,Yes,,,123,Unknown
-93.124,44.979,Bike,2022/06/02 22:40:00+00,W ARLINGTON AVE,44.985,-93.106,25,All other roads,,,,,14,M,SAINT PAUL,55107,,,Possible Injury,Yes,124,Unknown
-93.131,44.941,Pedestrian,2019/03/13 11:29:00+00,E VALLEY ST,44.959,-93.099,30,Local or City Street,48,M,SAINT PAUL,551031851,,,,,Suspected Minor Injury,Yes,,,125,Unknown
-93.046,44.985,Pedestrian,2021/09/28 21:45:00+00,-- NOT ON ROADWAY --,44.992,-93.086,,All other roads,51,M,MAPLEWOOD,551172036,,,,,Suspected Serious Injury,Yes,,,126,Unknown
-93.106,44.96,Pedestrian,2019/08/03 03:04:00+00,W THOMAS AVE,44.959,-93.126,30,Municipal State Aid Street,55,M,MAPLEWOOD,551193174,,,,,Suspected Serious Injury,Yes,,,127,Unknown
-93.126,44.947,Bike,2022/06/01 00:34:00+00,JOHNSON PKWY,44.975,-93.045,25,All other roads,,,,,18,M,ST PAUL,55106,,,Suspected Minor Injury,Yes,128,Unknown
-93.078,44.92,Pedestrian,2019/11/21 13:43:00+00,W UNIVERSITY AVE,44.968,-93.206,30,County State Aid Highway,25,F,SAINT PAUL,55114,,,,,Suspected Minor Injury,No,,,129,Unknown
-93.078,44.92,Pedestrian,2019/03/08 15:11:00+00,S PRIOR ST,44.927,-93.182,15,Local or City Street,21,F,EAGAN,551222412,,,,,Possible Injury,Yes,,,130,Unknown
-93.066,44.97,Pedestrian,2019/03/11 22:16:00+00,N GROTTO ST,44.947,-93.131,30,Local or City Street,61,F,SAINT PAUL,551021071,,,,,Suspected Serious Injury,Yes,,,131,Unknown
-93.182,44.958,Pedestrian,2019/03/08 21:20:00+00,N SNELLING AVE,44.959,-93.167,30,State Trunk Highway,12,F,SAINT PAUL,55104,,,,,Suspected Minor Injury,Yes,,,132,Unknown
-93.157,44.948,Pedestrian,2019/02/26 21:45:00+00,W SAINT CLAIR AVE,44.934,-93.167,30,Municipal State Aid Street,64,M,LANDFALL,55128,,,,,Suspected Minor Injury,No,,,133,Unknown
-93.152,44.956,Pedestrian,2019/03/08 03:29:00+00,W OSCEOLA AVE,44.936,-93.167,30,Local or City Street,54,M,SAINT PAUL,551052335,,,,,Possible Injury,No,,,134,Unknown
-93.085,44.956,Bike,2019/03/05 23:15:00+00,W UNIVERSITY AVE,44.956,-93.106,30,County State Aid Highway,,,,,41,M,MINNEAPOLIS,55411,,,Possible Injury,Yes,135,Unknown
